PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,No_Cabins,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_n,Master,Mid_rank,Miss,Mx,Nobility,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Ticket_Len,Ticket_Segm
23,1,0,15.0,0,0,8.0292,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1
24,1,1,28.0,0,0,35.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,1
25,0,0,8.0,3,1,21.075,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
26,1,0,38.0,1,5,31.3875,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
27,0,1,33.5,0,0,7.225,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
28,0,1,19.0,3,2,263.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,1
29,1,0,21.5,0,0,7.8792,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1
30,0,1,33.5,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
31,0,1,40.0,0,0,27.7208,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,8,2
32,1,0,33.5,1,0,146.5208,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,2
33,1,0,21.5,0,0,7.75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1
34,0,1,66.0,0,0,10.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,10,2
35,0,1,28.0,1,0,82.1708,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8,2
36,0,1,42.0,1,0,52.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,6,1
37,1,1,33.5,0,0,7.2292,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
38,0,1,21.0,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,10,2
39,0,0,18.0,2,0,18.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
40,1,0,14.0,1,0,11.2417,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,1
41,0,0,40.0,1,0,9.475,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1
42,0,0,27.0,1,0,21.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,5,1
43,0,1,33.5,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,6,1
44,1,0,3.0,1,2,41.5792,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,13,2
45,1,0,19.0,0,0,7.8792,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1
46,0,1,33.5,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,15,2
47,0,1,33.5,1,0,15.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
48,1,0,21.5,0,0,7.75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5,1
49,0,1,33.5,2,0,21.6792,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
50,0,0,18.0,1,0,17.8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
51,0,1,7.0,4,1,39.6875,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,7,1
52,0,1,21.0,0,0,7.8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,10,2
53,1,0,49.0,1,0,76.7292,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,2
54,1,0,29.0,1,0,26.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,4,1
55,0,1,65.0,0,1,61.9792,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6,1
56,1,1,33.5,0,0,35.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,1
57,1,0,21.0,0,0,10.5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,10,2
58,0,1,28.5,0,0,7.2292,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
59,1,0,5.0,1,2,27.75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,10,2
60,0,1,11.0,5,2,46.9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,7,2
61,0,1,22.0,0,0,7.2292,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
62,1,0,38.0,0,0,80.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6,1
63,0,1,45.0,1,0,83.475,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,1
64,0,1,4.0,3,2,27.9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,6,1
65,0,1,33.5,0,0,27.7208,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8,2
66,1,1,5.5,1,1,15.2458,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4,1
67,1,0,29.0,0,0,10.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,10,2
68,0,1,19.0,0,0,8.1583,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9,2
69,1,0,17.0,4,2,7.925,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,7,1
70,0,1,26.0,2,0,8.6625,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
71,0,1,32.0,0,0,10.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,10,2
72,0,0,16.0,5,2,46.9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,7,2
73,0,1,21.0,0,0,73.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,12,2
74,0,1,26.0,1,0,14.4542,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
75,1,1,32.0,0,0,56.4958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1
76,0,1,25.0,0,0,7.65,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,6,1
77,0,1,33.5,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
78,0,1,33.5,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
79,1,1,0.83,0,2,29.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,6,1
80,1,0,30.0,0,0,12.475,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
81,0,1,22.0,0,0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
82,1,1,29.0,0,0,9.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
83,1,0,21.5,0,0,7.7875,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1
84,0,1,28.0,0,0,47.1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,6,1
85,1,0,17.0,0,0,10.5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,10,2
86,1,0,33.0,3,0,15.85,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,7,1
87,0,1,16.0,1,3,34.375,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,10,2
88,0,1,33.5,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,15,2
89,1,0,23.0,3,2,263.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,1
90,0,1,24.0,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
91,0,1,29.0,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
92,0,1,20.0,0,0,7.8542,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
93,0,1,46.0,1,0,61.175,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,11,2
94,0,1,26.0,1,2,20.575,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9,2
95,0,1,59.0,0,0,7.25,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
96,0,1,33.5,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
97,0,1,71.0,0,0,34.6542,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,2
98,1,1,23.0,0,1,63.3583,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,2
99,1,0,34.0,0,1,23.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
100,0,1,34.0,1,0,26.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
101,0,0,28.0,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
102,0,1,33.5,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
103,0,1,21.0,0,1,77.2875,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,1
104,0,1,33.0,0,0,8.6542,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1
105,0,1,37.0,2,0,7.925,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,7,1
106,0,1,28.0,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
107,1,0,21.0,0,0,7.65,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
108,1,1,33.5,0,0,7.775,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
109,0,1,38.0,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
110,1,0,21.5,1,0,24.15,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1
111,0,1,47.0,0,0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,1
112,0,0,14.5,1,0,14.4542,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,1
113,0,1,22.0,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
114,0,0,20.0,1,0,9.825,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4,1
115,0,0,17.0,0,0,14.4583,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,1
116,0,1,21.0,0,0,7.925,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,17,3
117,0,1,70.5,0,0,7.75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
118,0,1,29.0,1,0,21.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,5,1
119,0,1,24.0,0,1,247.5208,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,2
120,0,0,2.0,4,2,31.275,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
121,0,1,21.0,2,0,73.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,12,2
122,0,1,33.5,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9,2
123,0,1,32.5,1,0,30.0708,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,6,1
124,1,0,32.5,0,0,13.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5,1
125,0,1,54.0,0,1,77.2875,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,1
126,1,1,12.0,1,0,11.2417,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4,1
127,0,1,33.5,0,0,7.75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
128,1,1,24.0,0,0,7.1417,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,7,2
129,1,0,21.5,1,1,22.3583,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1
130,0,1,45.0,0,0,6.975,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
131,0,1,33.0,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,6,1
132,0,1,20.0,0,0,7.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,18,2
133,0,0,47.0,1,0,14.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9,2
134,1,0,29.0,1,0,26.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
135,0,1,25.0,0,0,13.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,10,2
136,0,1,23.0,0,0,15.0458,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,13,2
137,1,0,19.0,0,2,26.2833,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,1
138,0,1,37.0,1,0,53.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,1
139,0,1,16.0,0,0,9.2167,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1
140,0,1,24.0,0,0,79.2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,2
141,0,0,33.5,0,2,15.2458,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
142,1,0,22.0,0,0,7.75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
143,1,0,24.0,1,0,15.85,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,16,2
144,0,1,19.0,0,0,6.75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
145,0,1,18.0,0,0,11.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
146,0,1,19.0,1,1,36.75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,10,2
147,1,1,27.0,0,0,7.7958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
148,0,0,9.0,2,2,34.375,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,10,2
149,0,1,36.5,0,2,26.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,6,1
150,0,1,42.0,0,0,13.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,6,1
151,0,1,51.0,0,0,12.525,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,11,2
152,1,0,22.0,1,0,66.6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,1
153,0,1,55.5,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,10,2
154,0,1,40.5,0,2,14.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,2
155,0,1,33.5,0,0,7.3125,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9,2
156,0,1,51.0,0,1,61.3792,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8,2
157,1,0,16.0,0,0,7.7333,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5,1
158,0,1,30.0,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,15,2
159,0,1,33.5,0,0,8.6625,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
160,0,1,5.5,8,2,69.55,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,8,2
161,0,1,44.0,0,1,16.1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
162,1,0,40.0,0,0,15.75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,10,2
163,0,1,26.0,0,0,7.775,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
164,0,1,17.0,0,0,8.6625,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
165,0,1,1.0,4,1,39.6875,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,7,1
166,1,1,9.0,0,2,20.525,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,6,1
167,1,0,33.5,0,1,55.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,1
168,0,0,45.0,1,4,27.9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
169,0,1,33.5,0,0,25.925,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,8,2
170,0,1,28.0,0,0,56.4958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1
171,0,1,61.0,0,0,33.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,1
172,0,1,4.0,4,1,29.125,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,6,1
173,1,0,1.0,1,1,11.1333,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
174,0,1,21.0,0,0,7.925,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,17,3
175,0,1,56.0,0,0,30.6958,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,1
176,0,1,18.0,1,1,7.8542,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
177,0,1,5.5,3,1,25.4667,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,4,1
178,0,0,50.0,0,0,28.7125,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8,2
179,0,1,30.0,0,0,13.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
180,0,1,36.0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1
181,0,0,21.5,8,2,69.55,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,8,2
182,0,1,33.5,0,0,15.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,13,2
183,0,1,9.0,4,2,31.3875,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,6,1
184,1,1,1.0,2,1,39.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,6,1
185,1,0,4.0,0,2,22.025,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
186,0,1,33.5,0,0,50.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,1
187,1,0,33.5,1,0,15.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
188,1,1,45.0,0,0,26.55,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,6,1
189,0,1,40.0,1,1,15.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
190,0,1,36.0,0,0,7.8958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
191,1,0,32.0,0,0,13.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
192,0,1,19.0,0,0,13.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,5,1
193,1,0,19.0,1,0,7.8542,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
194,1,1,3.0,1,1,26.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,6,1
195,1,0,44.0,0,0,27.7208,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,2
196,1,0,58.0,0,0,146.5208,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8,2
197,0,1,33.5,0,0,7.75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
198,0,1,42.0,0,1,8.4042,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1
199,1,0,21.5,0,0,7.75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1
200,0,0,24.0,0,0,13.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,6,1
201,0,1,28.0,0,0,9.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
202,0,1,33.5,8,2,69.55,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,2
203,0,1,34.0,0,0,6.4958,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,7,1
204,0,1,45.5,0,0,7.225,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
205,1,1,18.0,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,2
206,0,0,2.0,0,1,10.4625,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,6,1
207,0,1,32.0,1,0,15.85,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,7,1
208,1,1,26.0,0,0,18.7875,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
209,1,0,16.0,0,0,7.75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1
210,1,1,40.0,0,0,31.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6,1
211,0,1,24.0,0,0,7.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,18,2
212,1,0,35.0,0,0,21.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,12,2
213,0,1,22.0,0,0,7.25,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9,2
214,0,1,30.0,0,0,13.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
215,0,1,33.5,1,0,7.75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
216,1,0,31.0,1,0,113.275,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,1
217,1,0,27.0,0,0,7.925,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,16,2
218,0,1,42.0,1,0,27.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
219,1,0,32.0,0,0,76.2917,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,1
