,location
308,Worldwide
309,Worldwide
310,Somalia
311,Worldwide
312,Worldwide
313,Worldwide
314,Canada
315,United Kingdom
316,United States
317,United States
318,Worldwide
319,United States
320,United States
321,Worldwide
322,Netherlands
323,Worldwide
324,Worldwide
325,Uruguay
326,Worldwide
327,Somalia
328,Worldwide
329,Cameroon
330,United States
331,Canada
332,Worldwide
333,Worldwide
334,Worldwide
335,Finland
336,Cameroon
337,Israel
338,Worldwide
339,Worldwide
340,United States
341,
342,Russian Federation
343,Worldwide
344,Worldwide
345,Australia
346,Worldwide
347,Worldwide
348,Worldwide
349,Worldwide
350,Worldwide
351,Worldwide
352,Worldwide
353,Worldwide
354,United States
355,United States
356,Worldwide
357,United States
358,Worldwide
359,United States
360,Worldwide
361,Russia
362,Pakistan
363,Mexico
364,Worldwide
365,Worldwide
366,Brazil
367,Worldwide
368,United States
369,United States
370,Worldwide
371,Worldwide
372,Worldwide
373,Worldwide
374,United States
375,United States
376,United States
377,Somalia
378,Worldwide
379,Worldwide
380,Worldwide
381,United States
382,United States
383,United States
384,Worldwide
385,United States
386,Israel
387,Israel
388,United States
389,United States
390,Worldwide
391,United States
392,Côte d'Ivoire
393,Worldwide
394,United States
395,Kenya
396,Worldwide
397,Israel
398,United States
399,Worldwide
400,United States
401,Singapore
402,Kenya
403,Israel
404,United States
405,Worldwide
406,Israel
407,United States
408,Worldwide
409,United States
410,United States
411,United States
412,Worldwide
413,United States
414,Worldwide
415,Worldwide
416,Worldwide
417,Worldwide
418,Worldwide
419,Worldwide
420,Worldwide
421,Worldwide
422,Worldwide
423,Worldwide
424,Somalia
425,United States
426,Worldwide
427,United States
428,Worldwide
429,Worldwide
430,Australia
431,Worldwide
432,Worldwide
433,Worldwide
434,United States
435,Worldwide
436,Worldwide
437,United States
438,United States
439,Worldwide
440,Worldwide
441,Worldwide
442,Worldwide
443,United States
444,Iran
445,Worldwide
446,United States
447,Worldwide
448,United States
449,Worldwide
450,Worldwide
451,Worldwide
452,Worldwide
453,Ireland
454,Bahamas
455,Togo
456,United Arab Emirates
457,United States
458,India
459,United States
460,India
461,United States
462,West Bank and Gaza Strip
463,Worldwide
464,Worldwide
465,United Kingdom
466,Worldwide
467,Worldwide
468,Worldwide
469,Worldwide
470,United States
471,India
472,Worldwide
473,Sierra Leone
474,United States
475,United Kingdom
476,Worldwide
477,Worldwide
478,United States
479,Worldwide
480,Worldwide
481,Worldwide
482,Worldwide
483,Worldwide
484,United States
485,United States
486,Worldwide
487,Worldwide
488,Worldwide
489,Worldwide
490,Worldwide
491,Israel
492,Israel
493,Worldwide
494,Worldwide
495,United Kingdom
496,Worldwide
497,Worldwide
498,Pakistan
499,Israel
500,Worldwide
501,United States
502,United States
503,Worldwide
504,Netherlands
505,Worldwide
506,Worldwide
507,Worldwide
508,Worldwide
509,Worldwide
510,United States
511,Worldwide
512,Germany
513,Worldwide
514,Worldwide
515,Worldwide
516,Norway
517,United States
518,Worldwide
519,Worldwide
520,United States
521,India
522,Worldwide
523,Ireland
524,Worldwide
525,United Kingdom
526,United States
527,India
528,Worldwide
529,United States
530,United Kingdom
531,Worldwide
532,Jersey
533,Worldwide
534,Worldwide
535,United States
536,Worldwide
537,Myanmar
538,Worldwide
539,Myanmar
540,Myanmar
541,Philippines
542,Bahamas
543,Canada
544,Worldwide
545,Worldwide
546,Worldwide
547,United States
548,Worldwide
549,Worldwide
550,Worldwide
551,Worldwide
552,Israel
553,Sierra Leone
554,Worldwide
555,United States
556,United States
557,United States
558,Worldwide
559,United States
560,United States
561,Worldwide
562,Worldwide
563,Worldwide
564,Worldwide
565,United States
566,United States
567,Cameroon
568,Worldwide
569,United States
570,United States
571,Australia
572,United States
573,United States
574,Worldwide
575,Worldwide
576,United States
577,United States
578,United States
579,Worldwide
580,United States
581,United States
582,United States
583,United States
584,United States
585,Worldwide
586,United States
587,Worldwide
588,Worldwide
589,United States
590,United Kingdom
591,Worldwide
592,United States
593,United States
594,United States
595,Worldwide
596,United States
597,United States
598,United States
599,United States
600,Worldwide
601,Australia
602,Worldwide
603,Worldwide
604,Worldwide
605,Worldwide
606,Worldwide
607,Finland
608,Worldwide
609,United States
610,Worldwide
611,Worldwide
612,United Kingdom
613,Worldwide
614,Worldwide
615,Iran
616,United States
617,Worldwide
618,Worldwide
619,Netherlands
620,Worldwide
621,United States
622,Honduras
623,United States
624,Worldwide
625,Worldwide
626,Worldwide
627,Worldwide
628,Worldwide
629,Worldwide
630,Worldwide
631,Hungary
632,Worldwide
633,Worldwide
634,Worldwide
635,Worldwide
636,France
637,Iran
638,Worldwide
639,United Kingdom
640,United States
641,Worldwide
642,Germany
643,Worldwide
644,United States
645,United States
646,Worldwide
647,United States
648,United States
649,United States
650,Worldwide
651,Worldwide
652,Worldwide
653,Australia
654,United States
655,Worldwide
656,Worldwide
657,Brazil
658,United States
659,Worldwide
660,United States
661,Worldwide
662,Worldwide
663,Worldwide
664,Worldwide
665,United States
666,India
667,Worldwide
668,Worldwide
669,Togo
670,Worldwide
671,Worldwide
672,Worldwide
673,Worldwide
674,Worldwide
675,Worldwide
676,Russia
677,Worldwide
678,United States
679,Worldwide
680,United States
681,Philippines
682,Worldwide
683,United States
684,Worldwide
685,Worldwide
686,Worldwide
687,Worldwide
688,Worldwide
689,Worldwide
690,Georgia
691,Worldwide
692,Worldwide
693,Peru
694,Worldwide
695,United States
696,Worldwide
697,Worldwide
698,Worldwide
699,Spain
700,Worldwide
701,Worldwide
702,Worldwide
703,Worldwide
704,Worldwide
705,Worldwide
706,Turkmenistan
707,United States
708,Niger
709,United Kingdom
710,Côte d'Ivoire
711,United States
712,Worldwide
713,United States
714,Worldwide
715,Worldwide
716,Worldwide
717,Worldwide
718,Worldwide
719,Worldwide
720,Worldwide
721,Worldwide
722,United States
723,Uruguay
724,Worldwide
725,France
726,Worldwide
727,Worldwide
728,Worldwide
729,Worldwide
730,Worldwide
731,Worldwide
732,Worldwide
733,Worldwide
734,Worldwide
735,Worldwide
736,Worldwide
737,United States
738,Worldwide
739,Worldwide
740,Worldwide
741,Canada
742,Worldwide
743,Worldwide
744,United States
745,Worldwide
746,United States
747,Worldwide
748,United States
749,Worldwide
750,United States
751,India
752,Worldwide
753,Worldwide
754,Worldwide
755,Worldwide
756,United States
757,Worldwide
758,Worldwide
759,Worldwide
760,United States
761,Worldwide
762,Worldwide
763,Worldwide
764,United States
765,Uruguay
766,Worldwide
767,Worldwide
768,United States
769,United States
770,Worldwide
771,Worldwide
772,United States
773,United States
774,United States
775,Worldwide
776,Worldwide
777,Canada
778,Worldwide
779,Worldwide
780,Canada
781,France
782,Australia
783,Worldwide
784,United Kingdom
785,United States
786,Worldwide
787,Netherlands
788,United States
789,United States
790,United States
791,United States
792,United States
793,Worldwide
794,Sri Lanka
795,United States
796,South Africa
797,Worldwide
798,Worldwide
799,Worldwide
800,Worldwide
801,United Kingdom
802,United Kingdom
803,United Kingdom
804,United States
805,United States
806,France
807,France
808,United Kingdom
809,United States
810,Worldwide
811,Worldwide
812,Worldwide
813,Worldwide
814,Canada
815,Worldwide
816,Worldwide
817,Canada
818,"South Sudan, The Republic of"
819,Australia
820,Worldwide
821,Worldwide
822,Worldwide
823,United States
824,Worldwide
825,Canada
826,Worldwide
827,Worldwide
828,Montenegro
829,United States
830,Worldwide
831,Worldwide
832,United States
833,Worldwide
834,Worldwide
835,United States
836,Worldwide
837,United States
838,Sierra Leone
839,Worldwide
840,Canada
841,Worldwide
842,Worldwide
843,Worldwide
844,Worldwide
845,Worldwide
846,Worldwide
847,Worldwide
848,United States
849,Worldwide
850,Worldwide
851,Worldwide
852,Worldwide
853,Sierra Leone
854,Worldwide
855,Worldwide
856,Worldwide
857,Egypt
858,Worldwide
859,Worldwide
860,Myanmar
861,Worldwide
862,United States
863,Worldwide
864,Worldwide
865,Worldwide
866,Worldwide
867,Worldwide
868,Worldwide
869,Worldwide
870,Worldwide
871,Worldwide
872,Côte d'Ivoire
873,Worldwide
874,Worldwide
875,Worldwide
876,Worldwide
877,Jersey
878,Worldwide
879,United States
880,Worldwide
881,Argentina
882,Indonesia
883,Worldwide
884,United Kingdom
885,Worldwide
886,Malaysia
887,Worldwide
888,United States
889,Worldwide
890,United Kingdom
891,Worldwide
892,United States
893,Worldwide
894,Worldwide
895,United Kingdom
896,Worldwide
897,Cameroon
898,Worldwide
899,Worldwide
900,Singapore
901,Australia
902,Worldwide
903,United States
904,United Kingdom
905,Worldwide
906,Ireland
907,Singapore
908,New Zealand
909,Worldwide
910,Myanmar
911,Worldwide
912,Worldwide
913,Worldwide
914,Worldwide
915,Australia
916,Brazil
917,Worldwide
918,Bolivia
919,Canada
920,Worldwide
921,United States
922,Worldwide
923,Worldwide
924,Worldwide
925,United States
926,Worldwide
927,Georgia
928,Worldwide
929,Worldwide
930,Worldwide
931,Worldwide
932,Worldwide
933,Worldwide
934,United Kingdom
935,Worldwide
936,Worldwide
937,Côte d'Ivoire
938,Worldwide
939,United States
940,Worldwide
941,Worldwide
942,Worldwide
943,Worldwide
944,Worldwide
945,Worldwide
946,United Kingdom
947,United Kingdom
948,Worldwide
949,Worldwide
950,Worldwide
951,United States
952,United States
953,United States
954,Iran
955,Worldwide
956,United States
957,United States
958,United States
959,Worldwide
960,United States
961,United States
962,Sierra Leone
963,Worldwide
964,United States
965,Worldwide
966,United States
967,United States
968,Somalia
969,Worldwide
970,Worldwide
971,United States
972,United States
973,Sierra Leone
974,Worldwide
975,Worldwide
976,Sierra Leone
977,Worldwide
978,Sierra Leone
979,United States
980,United States
981,Worldwide
982,Sierra Leone
983,United States
984,Worldwide
985,Worldwide
986,United Kingdom
987,Worldwide
988,Worldwide
989,Worldwide
990,Worldwide
991,Worldwide
992,Worldwide
993,United States
994,United States
995,Sierra Leone
996,Worldwide
997,Worldwide
998,Worldwide
999,Macedonia
1000,Worldwide
1001,Worldwide
1002,Worldwide
1003,Worldwide
1004,Worldwide
1005,Worldwide
1006,Worldwide
1007,Worldwide
1008,Worldwide
1009,Worldwide
1010,United States
1011,United States
1012,Worldwide
1013,United States
1014,Worldwide
1015,Worldwide
1016,Worldwide
1017,Worldwide
1018,United States
1019,United States
1020,United States
1021,Sierra Leone
1022,United Kingdom
1023,Worldwide
1024,United States
1025,United States
1026,United States
1027,Worldwide
1028,Worldwide
1029,Worldwide
1030,United Kingdom
1031,Worldwide
1032,Sierra Leone
1033,Sierra Leone
1034,Worldwide
1035,Worldwide
1036,United States
1037,Worldwide
1038,Worldwide
1039,Worldwide
1040,Worldwide
1041,Sierra Leone
1042,Sierra Leone
1043,Worldwide
1044,Worldwide
1045,Sierra Leone
1046,Worldwide
1047,Worldwide
1048,Worldwide
1049,Worldwide
1050,Worldwide
1051,United States
1052,Worldwide
1053,Sierra Leone
1054,Worldwide
1055,Worldwide
1056,Sierra Leone
1057,Worldwide
1058,Sierra Leone
1059,Denmark
1060,Sierra Leone
1061,United States
1062,Worldwide
1063,United Kingdom
1064,Japan
1065,Worldwide
1066,Worldwide
1067,United States
1068,Canada
1069,United States
1070,Australia
1071,United States
1072,Worldwide
1073,Worldwide
1074,Worldwide
1075,Japan
1076,Japan
1077,Ireland
1078,Worldwide
1079,Worldwide
1080,Worldwide
1081,Canada
1082,Worldwide
1083,United States
1084,United Kingdom
1085,United States
1086,Worldwide
1087,Jamaica
1088,Worldwide
1089,Japan
1090,Japan
1091,United States
1092,United States
1093,United States
1094,Worldwide
1095,Libya
1096,United States
1097,Worldwide
1098,Worldwide
1099,Netherlands
1100,Worldwide
1101,Worldwide
1102,Japan
1103,Germany
1104,Worldwide
1105,Worldwide
1106,Worldwide
1107,Worldwide
1108,Iraq
1109,Worldwide
1110,Jersey
1111,Georgia
1112,Worldwide
1113,Worldwide
1114,Afghanistan
1115,Worldwide
1116,Kenya
1117,Worldwide
1118,Sierra Leone
1119,Iraq
1120,United States
1121,Worldwide
1122,Worldwide
1123,United Kingdom
1124,Worldwide
1125,South Africa
1126,Worldwide
1127,Niger
1128,Worldwide
1129,Worldwide
1130,Worldwide
1131,France
1132,Worldwide
1133,Japan
1134,Japan
1135,Australia
1136,Worldwide
1137,Japan
1138,Japan
1139,Japan
1140,Worldwide
1141,Worldwide
1142,Japan
1143,Japan
1144,Japan
1145,United States
1146,Russia
1147,Puerto Rico
1148,Canada
1149,Honduras
1150,Japan
1151,Japan
1152,United States
1153,Japan
1154,Cameroon
1155,United States
1156,Singapore
1157,Worldwide
1158,United Kingdom
1159,United States
1160,Worldwide
1161,India
1162,Australia
1163,Worldwide
1164,India
1165,Worldwide
1166,United States
1167,Worldwide
1168,Worldwide
1169,Worldwide
1170,Worldwide
1171,United Kingdom
1172,India
1173,Worldwide
1174,United States
1175,Mexico
1176,United States
1177,Worldwide
1178,United Kingdom
1179,United States
1180,Worldwide
1181,United States
1182,United Kingdom
1183,Niger
1184,Mexico
1185,Worldwide
1186,Australia
1187,Australia
1188,Mexico
1189,Worldwide
1190,United Kingdom
1191,Worldwide
1192,United States
1193,United States
1194,India
1195,Worldwide
1196,Worldwide
1197,Australia
1198,Worldwide
1199,Worldwide
1200,Worldwide
1201,United States
1202,Worldwide
1203,Zambia
1204,Worldwide
1205,United States
1206,United States
1207,Worldwide
1208,
1209,Worldwide
1210,United States
1211,Worldwide
1212,Worldwide
1213,Worldwide
1214,Worldwide
1215,Worldwide
1216,United States
1217,United Kingdom
1218,Somalia
1219,Worldwide
1220,United States
1221,Worldwide
1222,United States
1223,United Kingdom
1224,Ireland
1225,United Kingdom
1226,Worldwide
1227,United States
1228,United States
1229,United Kingdom
1230,Worldwide
1231,Cameroon
1232,Worldwide
1233,United States
1234,United States
1235,United States
1236,Worldwide
1237,Worldwide
1238,Worldwide
1239,Worldwide
1240,Worldwide
1241,Canada
1242,United Kingdom
1243,Niger
1244,Worldwide
1245,Sweden
1246,Worldwide
1247,Australia
1248,Venezuela
1249,United States
1250,United Kingdom
1251,United Kingdom
1252,United States
1253,Worldwide
1254,United States
1255,Worldwide
1256,Worldwide
1257,Worldwide
1258,Worldwide
1259,United States
1260,Worldwide
1261,United States
1262,United States
1263,Worldwide
1264,United States
1265,Worldwide
1266,Worldwide
1267,United States
1268,Worldwide
1269,Worldwide
1270,Worldwide
1271,United States
1272,United States
1273,United States
1274,Worldwide
1275,United States
1276,Canada
1277,United States
1278,Worldwide
1279,United States
1280,Worldwide
1281,United States
1282,Worldwide
1283,United States
1284,Worldwide
1285,Sierra Leone
1286,Worldwide
1287,Worldwide
1288,United States
1289,Worldwide
1290,Worldwide
1291,Worldwide
1292,Worldwide
1293,Worldwide
1294,Worldwide
1295,United States
1296,Worldwide
1297,Worldwide
1298,Worldwide
1299,Worldwide
1300,Isle of Man
1301,Worldwide
1302,United States
1303,Worldwide
1304,Worldwide
1305,Worldwide
1306,Worldwide
1307,Worldwide
1308,Côte d'Ivoire
1309,Worldwide
1310,Venezuela
1311,Worldwide
1312,United States
1313,United States
1314,Worldwide
1315,Worldwide
1316,United States
1317,Worldwide
1318,Worldwide
1319,Worldwide
1320,United States
1321,Worldwide
1322,Worldwide
1323,Australia
1324,Worldwide
1325,United States
1326,Worldwide
1327,Worldwide
1328,United States
1329,Worldwide
1330,United States
1331,Australia
1332,Worldwide
1333,Worldwide
1334,Worldwide
1335,Worldwide
1336,Worldwide
1337,Chile
1338,Worldwide
1339,Worldwide
1340,Worldwide
1341,Worldwide
1342,Worldwide
1343,Worldwide
1344,Worldwide
1345,United States
1346,United States
1347,United States
1348,Worldwide
1349,Worldwide
1350,Worldwide
1351,United States
1352,United States
1353,United States
1354,Worldwide
1355,Worldwide
1356,United States
1357,South Africa
1358,Worldwide
1359,Denmark
1360,Worldwide
1361,Worldwide
1362,Worldwide
1363,United States
1364,United States
1365,Worldwide
1366,United States
1367,United Kingdom
1368,Worldwide
1369,Worldwide
1370,Worldwide
1371,Worldwide
1372,Jamaica
1373,Trinidad and Tobago
1374,Worldwide
1375,Worldwide
1376,Australia
1377,Worldwide
1378,United Kingdom
1379,Australia
1380,Worldwide
1381,Worldwide
1382,Worldwide
1383,United Kingdom
1384,Sierra Leone
1385,Worldwide
1386,Worldwide
1387,Australia
1388,Worldwide
1389,Malaysia
1390,Worldwide
1391,United Kingdom
1392,Worldwide
1393,Worldwide
1394,Worldwide
1395,Philippines
1396,Worldwide
1397,United States
1398,Worldwide
1399,United States
1400,Worldwide
1401,Worldwide
1402,Worldwide
1403,United Kingdom
1404,United States
1405,Worldwide
1406,Worldwide
1407,United States
1408,Worldwide
1409,United States
1410,Australia
1411,United States
1412,Australia
1413,Colombia
1414,Afghanistan
1415,Worldwide
1416,United States
1417,United Kingdom
1418,Montenegro
1419,Worldwide
1420,Afghanistan
1421,United States
1422,Worldwide
1423,Worldwide
1424,United States
1425,Afghanistan
1426,Worldwide
1427,Kenya
1428,Canada
1429,Worldwide
1430,Worldwide
1431,United Kingdom
1432,Worldwide
1433,Worldwide
1434,Worldwide
1435,Myanmar
1436,Worldwide
1437,Kenya
1438,Cameroon
1439,Philippines
1440,Worldwide
1441,United States
1442,Jersey
1443,United States
1444,Worldwide
1445,Worldwide
1446,Worldwide
1447,Worldwide
1448,Worldwide
1449,United States
1450,Worldwide
1451,United States
1452,Worldwide
1453,Hong Kong
1454,Worldwide
1455,Worldwide
1456,Worldwide
1457,United States
1458,United States
1459,United States
1460,Russia
1461,Worldwide
1462,New Zealand
1463,United States
1464,Sierra Leone
1465,Worldwide
1466,Worldwide
1467,Uruguay
1468,Worldwide
1469,Worldwide
1470,Worldwide
1471,Worldwide
1472,Worldwide
1473,Canada
1474,Worldwide
1475,United States
1476,United States
1477,New Zealand
1478,Worldwide
1479,Worldwide
1480,United States
1481,Worldwide
1482,
1483,Sweden
1484,Worldwide
1485,Worldwide
1486,Worldwide
1487,Worldwide
1488,Worldwide
1489,Worldwide
1490,United States
1491,Portugal
1492,Worldwide
1493,Worldwide
1494,Worldwide
1495,Worldwide
1496,Peru
1497,Worldwide
1498,Canada
1499,United States
1500,Worldwide
1501,Japan
1502,Japan
1503,Japan
1504,United Kingdom
1505,Ecuador
1506,Worldwide
1507,Worldwide
1508,United States
1509,United States
1510,United States
1511,United States
1512,Sierra Leone
1513,Worldwide
1514,Worldwide
1515,United States
1516,Sierra Leone
1517,Worldwide
1518,Worldwide
1519,Worldwide
1520,United States
1521,Ireland
1522,Worldwide
1523,Worldwide
1524,Worldwide
1525,United Kingdom
1526,Worldwide
1527,Côte d'Ivoire
1528,Worldwide
1529,United States
1530,Worldwide
1531,Ireland
1532,United Kingdom
1533,Worldwide
1534,Sierra Leone
1535,United Kingdom
1536,Worldwide
1537,United States
1538,United States
1539,Worldwide
1540,United States
1541,Worldwide
1542,United States
1543,United States
1544,United States
1545,Worldwide
1546,United Kingdom
1547,Colombia
1548,United States
1549,Worldwide
1550,United States
1551,United States
1552,Russia
1553,Worldwide
1554,Worldwide
1555,Jersey
1556,Worldwide
1557,Worldwide
1558,Côte d'Ivoire
1559,Australia
1560,Worldwide
1561,Namibia
1562,Worldwide
1563,Worldwide
1564,United Kingdom
1565,Worldwide
1566,Worldwide
1567,United States
1568,Worldwide
1569,Worldwide
1570,China
1571,Niger
1572,Worldwide
1573,Worldwide
1574,Worldwide
1575,Worldwide
1576,Worldwide
1577,Worldwide
1578,Nigeria
1579,Worldwide
1580,United Kingdom
1581,Worldwide
1582,Worldwide
1583,Worldwide
1584,Worldwide
1585,Worldwide
1586,Australia
1587,Niger
1588,United States
1589,Worldwide
1590,Worldwide
1591,Worldwide
1592,Worldwide
1593,Uruguay
1594,Spain
1595,Netherlands
1596,Ireland
1597,Worldwide
1598,United Kingdom
1599,Worldwide
1600,India
1601,Worldwide
1602,Saudi Arabia
1603,United States
1604,
1605,United States
1606,Worldwide
1607,Worldwide
1608,Worldwide
1609,United States
1610,United Kingdom
1611,Worldwide
1612,United States
1613,Worldwide
1614,Worldwide
1615,Worldwide
1616,India
1617,South Africa
1618,Nigeria
1619,Worldwide
1620,Worldwide
1621,Worldwide
1622,United Kingdom
1623,India
1624,United Kingdom
1625,United States
1626,Worldwide
1627,Worldwide
1628,Worldwide
1629,United States
1630,Worldwide
1631,United States
1632,United States
1633,United States
1634,Worldwide
1635,Worldwide
1636,Worldwide
1637,United States
1638,Worldwide
1639,Worldwide
1640,France
1641,Somalia
1642,Japan
1643,Worldwide
1644,Zimbabwe
1645,Worldwide
1646,United States
1647,Jamaica
1648,United States
1649,Worldwide
1650,United States
1651,Worldwide
1652,Worldwide
1653,Egypt
1654,Worldwide
1655,Worldwide
1656,United States
1657,Worldwide
1658,Worldwide
1659,Worldwide
1660,Worldwide
1661,Worldwide
1662,Australia
1663,Worldwide
1664,Worldwide
1665,Worldwide
1666,Worldwide
1667,Worldwide
1668,Worldwide
1669,Worldwide
1670,Worldwide
1671,Worldwide
1672,United States
1673,United States
1674,Worldwide
1675,Philippines
1676,Worldwide
1677,Worldwide
1678,Worldwide
1679,United States
1680,Worldwide
1681,Worldwide
1682,United States
1683,Worldwide
1684,Worldwide
1685,United States
1686,Worldwide
1687,United States
1688,United States
1689,United States
1690,United States
1691,United States
1692,Worldwide
1693,Worldwide
1694,United States
1695,Worldwide
1696,Worldwide
1697,Malaysia
1698,United States
1699,Worldwide
1700,Worldwide
1701,Worldwide
1702,Worldwide
1703,Canada
1704,United Kingdom
1705,Worldwide
1706,Worldwide
1707,Worldwide
1708,United States
1709,United States
1710,Pakistan
1711,United States
1712,United States
1713,Worldwide
1714,United States
1715,United States
1716,United States
1717,Worldwide
1718,United States
1719,Russia
1720,Worldwide
1721,Pakistan
1722,Worldwide
1723,Worldwide
1724,United States
1725,United Kingdom
1726,South Africa
1727,Worldwide
1728,United States
1729,United States
1730,Worldwide
1731,Worldwide
1732,Worldwide
1733,India
1734,Worldwide
1735,Worldwide
1736,Kenya
1737,Worldwide
1738,United States
1739,United States
1740,Worldwide
1741,United States
1742,Russia
1743,Russia
1744,United States
1745,Canada
1746,United States
1747,United States
1748,United States
1749,United States
1750,United States
1751,United States
1752,United States
1753,India
1754,United States
1755,United States
1756,Worldwide
1757,United States
1758,United States
1759,Worldwide
1760,Georgia
1761,United States
1762,United States
1763,Saint Lucia
1764,Canada
1765,Worldwide
1766,United States
1767,Worldwide
1768,United States
1769,Worldwide
1770,United States
1771,United States
1772,Canada
1773,United States
1774,United States
1775,United States
1776,United States
1777,Worldwide
1778,
1779,Worldwide
1780,India
1781,United States
1782,Worldwide
1783,Worldwide
1784,Worldwide
1785,France
1786,United Kingdom
1787,Uruguay
1788,Worldwide
1789,Worldwide
1790,United States
1791,Worldwide
1792,Australia
1793,Worldwide
1794,Worldwide
1795,Worldwide
1796,Worldwide
1797,Australia
1798,United States
1799,Worldwide
1800,Worldwide
1801,United States
1802,Worldwide
1803,Worldwide
1804,Worldwide
1805,United States
1806,Worldwide
1807,Worldwide
1808,Montenegro
1809,Worldwide
1810,United States
1811,Worldwide
1812,Pakistan
1813,Mexico
1814,Worldwide
1815,United Kingdom
1816,Worldwide
1817,Worldwide
1818,Côte d'Ivoire
1819,United States
1820,Worldwide
1821,Worldwide
1822,Worldwide
1823,Worldwide
1824,Cameroon
1825,Worldwide
1826,Canada
1827,Pakistan
1828,United States
1829,Pakistan
1830,Worldwide
1831,United Kingdom
1832,Pakistan
1833,Worldwide
1834,Pakistan
1835,Worldwide
1836,Worldwide
1837,Worldwide
1838,Worldwide
1839,Worldwide
1840,Worldwide
